"filename", "language", "Markdown", "JSON", "Shell Script", "Rust", "Properties", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\.env", "Properties", 0, 0, 0, 0, 41, 0, 25, 66
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\README.md", "Markdown", 6, 0, 0, 0, 0, 0, 5, 11
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\actors.rs", "Rust", 0, 0, 0, 2, 0, 0, 7, 9
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\actors\parathread.rs", "Rust", 0, 0, 0, 42, 0, 3, 19, 64
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\actors\peer.rs", "Rust", 0, 0, 0, 45, 0, 10, 38, 93
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\apis.rs", "Rust", 0, 0, 0, 2, 0, 0, 4, 6
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\apis\rest.rs", "Rust", 0, 0, 0, 1, 0, 0, 7, 8
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\apis\rest\wallet.rs", "Rust", 0, 0, 0, 44, 0, 19, 24, 87
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\apis\rpc.rs", "Rust", 0, 0, 0, 1, 0, 1, 6, 8
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\apis\ws.rs", "Rust", 0, 0, 0, 1, 0, 1, 7, 9
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\constants.rs", "Rust", 0, 0, 0, 8, 0, 0, 8, 16
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine.rs", "Rust", 0, 0, 0, 4, 0, 0, 6, 10
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine\codec.rs", "Rust", 0, 0, 0, 2, 0, 10, 10, 22
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine\codec\decoder.rs", "Rust", 0, 0, 0, 2, 0, 0, 9, 11
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine\codec\encoder.rs", "Rust", 0, 0, 0, 2, 0, 0, 7, 9
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine\consensus.rs", "Rust", 0, 0, 0, 2, 0, 0, 6, 8
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine\consensus\governance.rs", "Rust", 0, 0, 0, 1, 0, 2, 9, 12
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine\consensus\pos.rs", "Rust", 0, 0, 0, 4, 0, 5, 13, 22
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine\contract.rs", "Rust", 0, 0, 0, 1, 0, 0, 7, 8
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine\contract\token.rs", "Rust", 0, 0, 0, 50, 0, 32, 25, 107
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine\cvm.rs", "Rust", 0, 0, 0, 1, 0, 1, 5, 7
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\engine\cvm\stack.rs", "Rust", 0, 0, 0, 8, 0, 2, 29, 39
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\lib.rs", "Rust", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\main.rs", "Rust", 0, 0, 0, 223, 0, 112, 144, 479
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\schemas.rs", "Rust", 0, 0, 0, 249, 0, 64, 207, 520
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\utils.rs", "Rust", 0, 0, 0, 39, 0, 8, 41, 88
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\utils\hexy.rs", "Rust", 0, 0, 0, 29, 0, 16, 15, 60
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\utils\req.rs", "Rust", 0, 0, 0, 102, 0, 0, 20, 122
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\utils\res.rs", "Rust", 0, 0, 0, 32, 0, 0, 15, 47
"c:\Users\lenovo\Desktop\_ayoub\coiniXerr\src\utils\scheduler.rs", "Rust", 0, 0, 0, 67, 0, 60, 25, 152
"c:\Users\lenovo\Desktop\_ayoub\tests\src\lib.rs", "Rust", 0, 0, 0, 572, 0, 225, 249, 1046
"c:\Users\lenovo\Desktop\_ayoub\tests\src\main.rs", "Rust", 0, 0, 0, 6, 0, 0, 24, 30
"Total", "-", 79, 1932, 17, 11086, 117, 2159, 4056, 19446
